,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,95,SPIKED PINK LEMONADE (TITO'S) 2,0.06,0.09,0.05,0.08,0.08,0.02,0.1,0.07,0.02,0.07,0.03,0.12,0.01,0.09,0.1,0,,,,,,,,,,,,,,,,,,,,
,65,SPIKED STRAWBERRY LEMONADE (TITO'S) 1,0.39,0.28,0.2,0.27,0.26,0.23,0.39,0.22,0.28,0.25,0.34,0.43,0.47,0.36,0.57,0.55,0.34,0.53,0.48,0.31,0.52,0.15,0.85,0.46,0.44,0.5,0.55,,0.6,0.5,0.51,0.53,0.56,0.4,0.45,0.56
,96,SPIKED STRAWBERRY LEMONADE (TITO'S) 2,0.1,0.11,0.08,0.06,0.14,0.07,0.04,0.06,0.08,0.16,0.07,0.1,0.06,0.14,0.14,0.11,0.13,0.08,0.14,0.13,0.1,,,,,,,,,,,,,,,0.03
,38,STELLA ARTOIS 1,0.32,0.33,0.13,0.4,0.19,0.29,0.31,0.21,0.18,0.2,0.16,0.3,0.19,0.28,0.25,0.38,0.53,0.29,0.37,0.44,0.38,0.33,0.56,0.42,0.42,0.37,0.36,,0.5,0.4,0.2,0.72,0.54,0.48,0.26,0.13
,53,STRAWBERRY MARGARITA (JOSE CUERVO) 1,0.17,0.2,0.14,0.25,0.22,0.19,0.22,0.12,0.12,0.18,0.13,0.26,0.17,0.19,0.15,0.21,0.13,0.18,0.13,0.17,0.31,0.14,0.2,0.09,0.12,0.11,0.13,,0.2,0.1,0.26,0.31,0.21,0.12,0.11,0.11
,55,STRAWBERRY SENORITA (JOSE CUERVO) 1,0.19,0.12,0.1,0.19,0.08,0.09,0.14,0.11,0.09,0.22,0.18,0.18,0.21,0.2,0.21,0.24,0.28,0.25,0.18,0.17,0.2,0.24,0.24,0.18,0.25,0.28,0.24,,0.2,0.2,0.18,0.22,0.17,0.19,0.19,0.09
,55,STRAWBERRY SENORITA (JOSE CUERVO) 2,0.08,0.12,0.06,0.09,0.08,0.06,0.07,0.03,0.04,0.09,0.1,0.05,0.08,0.12,0.13,0.09,0.12,0.07,0.06,0.08,0.06,0.04,0.06,,,,,,0,,,0.02,,,,0.01
,92,Tito's (Vodka) 2,15.55,27.6,13.1,7,15.1,19,12,11,3,26,15,10,2,15,40,14,19,25,22,23,11,0,15,6,6,39,9,,12.6,15,1.5,16,18,5,9,0
,13,Tito's (Vodka) 3,31.44,40.2,13.5,10.5,28.7,34,43,14,14,39,39,34,26,33,50,40,21,28,26,40,24,27,86,17,15,41,35,,45.6,26.8,37,55,14,33,40,15
,44,TRIPLE JAM CIDER 1,0.59,0.52,0.56,0.66,0.76,0.49,0.73,0.31,0.53,0.51,0.48,0.56,0.67,0.86,,,,,,,,,,,,,,,,,,,,,,
,46,TRULY WILD BERRY 1,0.3,0.33,0.14,0.35,0.33,0.21,0.46,0.18,0.3,0.41,0.26,0.35,0.33,0.36,0.49,0.32,0.45,0.23,0.28,0.23,0.23,0.21,0.33,0.29,0.29,0.23,0.32,,0.2,0.3,0.14,0.24,0.27,0.14,0.09,0.09
,36,TRUTH 1,0.44,0.47,0.24,0.51,0.51,0.4,0.43,0.26,0.29,0.51,0.48,0.43,0.43,0.52,0.38,0.58,0.42,0.37,0.51,0.54,0.55,0.3,0.88,0.29,0.48,0.24,0.48,,0.7,0.4,0.24,0.85,0.85,0.38,0.45,0.3
,41,TWO HEARTED IPA 1,0.28,0.4,0.15,0.34,0.26,0.18,0.26,0.26,0.26,0.25,0.36,0.48,0.22,0.31,0.33,0.07,,,,,,,,,,,,,,,,,,,,
,66,VODKA CRAN (TITO'S) 1,0.2,0.18,0.14,0.33,0.26,0.17,0.27,0.15,0.17,0.26,0.13,0.26,0.2,0.29,0.24,0.24,0.22,0.22,0.26,0.27,0.2,0.18,0.26,0.15,0.19,0,0,,0.2,0.1,,0.19,0.24,0.1,0.15,0.13
,35,VOODOO RANGER JUICY HAZE 1,0.44,0.69,0.33,0.54,0.41,0.28,0.53,0.44,0.35,0.5,0.36,0.58,0.43,0.57,0.48,0.36,0.43,0.29,0.41,0.44,,,,,,,,,,,,,,,,0.26
,71,WASHINGTON APPLE (CROWN ROYAL APPLE) 1,0.2,0.21,0.15,0.27,0.12,0.14,0.17,0.18,0.18,0.22,0.2,0.3,0.25,0.2,0.16,0.19,0.17,0.19,0.2,0.17,0.27,0.14,0.22,0.21,,,,,0.5,0.4,,0.5,0.52,0.42,0.44,0.09
,101,WASHINGTON APPLE (CROWN ROYAL APPLE) 2,0.07,0.03,0.09,0.08,0.08,0.04,0.08,0.05,0.05,0.09,0.06,0.08,0.05,0.24,0.08,0.06,0.11,0.07,0.06,0.05,0.05,0.09,0.12,0.03,0.06,0.06,0.07,,0.1,0.1,0.07,0.22,0.09,0.08,0.11,0.01
,54,WATERMELON MARGARITA (JOSE CUERVO) 1,0.14,0.14,0.11,0.17,0.18,0.14,0.13,0.09,0.09,0.11,0.14,0.2,0.16,0.11,0.13,0.11,0.12,0.09,0.08,0.12,0.24,0.16,0.25,0.18,0.16,0.16,0.2,,0.2,0.2,0.18,0.18,0.17,0.12,0.16,0.07
,72,WHISKEY SOUR (JACK DANIELS) 1,0.22,0.1,0.09,0.23,0.17,0.12,0.17,0.11,0.13,0.19,0.12,0.17,0.21,0.37,0.27,0.31,0.31,0.47,0.44,0.27,0.19,0.1,0.34,0.25,,,,,0.5,0.5,,0.62,0.49,0.42,0.4,0.1
,30,YUENGLING 1,0.41,0.57,0.22,0.73,0.3,0.34,0.49,0.32,0.29,0.35,0.37,0.39,0.3,0.61,0.48,,,,,,,,,,,,,,,,,,,,,
