,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,57,BLUE DOT (SVEDKA) 1,0.23,0.14,0.15,0.15,0.24,0.2,0.16,0.17,0.15,0.29,0.28,0.29,0.24,0.31,0.19,0.28,0.17,0.21,0.32,0.18,0.16,0.25,0.28,0.26,0.28,0.28,0.36,,0.3,0.3,0.26,0.33,0.4,0.17,0.16,0.12
,97,BLUE DOT (SVEDKA) 2,0.06,0.05,0.04,0.07,0.05,0,0.09,0.03,0.05,0.05,0.07,0.07,0.05,0.04,0.04,0.05,0.03,0.05,0.09,0.02,0.05,0.11,0.18,0.06,0.03,0.06,0.05,,0.1,0,0.05,0.14,0.09,0.07,0.04,0.12
,33,BLUE MOON 1,0.51,0.43,0.56,0.7,0.65,0.4,0.74,0.37,0.5,0.49,0.46,0.71,0.47,0.66,0.58,0.53,0.6,0.46,0.35,0.06,0.63,0.43,0.74,0.5,0.37,0.38,0.38,,0.6,0.4,0.23,0.81,0.83,0.32,0.38,0.31
,49,BLUEBERRY MARGARITA (JOSE CUERVO) 1,0.13,0.07,0.11,0.19,0.14,0.13,0.15,0.13,0.13,0.12,0.11,0.14,0.2,0.16,0.25,0.24,0.09,0.12,0.09,0.09,0.05,0.06,0.1,0.06,,,,,0.1,0.1,,0.1,0.12,0.05,0.04,0.09
,59,BOOZY CUCUMBER LEMONADE (KETEL ONE) 1,0.17,0.18,0.04,0.21,0.15,0.16,0.18,0.11,0.2,0.16,0.12,0.22,0.08,0.18,0.16,0.2,0.2,0.15,0.16,0.17,0.17,0.13,0.25,0.2,0.2,0.15,0.25,,0.2,0.2,0.17,0.25,0.21,0.05,0.17,0.03
,98,BOOZY CUCUMBER LEMONADE (KETEL ONE) 2,0.04,0.03,0.01,0.01,0.05,0.02,0.06,0.01,0.02,0.05,0.03,0.01,0.07,0.06,0.02,0.07,0.05,0.04,0.05,0.05,0.04,0.01,0.11,0.08,0.02,0.03,0.06,,0.1,0,0.03,0.04,0.1,0.03,0.03,0.01
,39,BREAKFAST STOUT 1,0.22,0.22,0.16,0.25,0.26,0.21,0.18,0.19,0.19,0.28,0.24,0.3,0.29,0.31,0.03,,,,,,,,,,,,,,,,,,,,,
,26,BUD LIGHT 1,0.43,0.25,0.09,0.55,0.3,0.2,0.46,0.34,0.36,0.51,0.29,0.45,0.45,0.79,0.44,0.4,0.51,0.48,0.53,0.37,0.42,0.52,0.67,0.33,0.58,0.5,0.42,,0.6,0.5,0.36,0.53,0.67,0.63,0.46,0.13
,74,BUD LIGHT 2,0.1,0.1,0.06,0.15,0.04,0.08,0.16,0.08,0.07,0.07,0.09,0.1,0.07,0.25,0.15,0.11,0.05,0.15,0.03,0.03,0.11,0.01,0.21,0.12,0.11,0.11,0.1,,0.2,0.1,0.06,0.11,0.16,0.19,0.13,0.04
,42,BUDWEISER 1,0.12,0.12,0.15,0.15,0.1,0.04,0.13,0.11,0.18,0.17,0.16,0.19,0.09,0.12,0.02,,,,,,,,,,,,,,,,,,,,,
,86,Bulleit (Bourbon) 2,7.66,8.5,0,3,15,2,19,6,4,4,4,4,5,13,13,4,2,16,21,12,21,0,3,6,4.5,7.5,1.5,,12.3,4.9,0.75,25.5,21,7.5,4.5,0
,14,Bulleit (Bourbon) 3,16.6,30.5,5.5,12.5,21.1,15,12,30,16,25,17,30,12,26,22,17,24,5,8,27.9,4.5,10.5,16.5,12,13.5,1.5,16.5,,17.4,10.9,12.75,4.5,12,39,15,1.51
,23,BUSCH LIGHT 1,0.69,0.23,0.41,0.66,0.23,0.49,0.53,0.48,0.57,0.69,0.31,1.04,0.34,0.71,1.01,0.63,0.61,0.88,0.71,0.82,1.24,0.58,1.87,0.46,0.69,1.21,0.65,,0.9,0.8,0.31,0.62,1.15,0.68,0.37,0.42
,77,BUSCH LIGHT 2,0.09,0.05,0.08,0.1,0.04,0.05,0.08,0.06,0.03,0.06,0.21,0.07,0.03,0.21,0.24,0.08,,,,,,,,,,,,,,,,,,,,
,48,CAPTAIN QUENCHER (CAPTAIN MORGAN) 1,0.07,0.03,0.02,0.11,0.08,0.04,0.09,0.06,0.05,0.07,0.03,0.07,0.07,0.1,0.05,0.09,0.05,0.04,0.14,0.04,0.09,0.05,0.16,0.09,0.08,0.11,0.1,,0.1,0.1,0.07,0.24,0.13,0.1,0.11,0.04
,27,CINCY LIGHT 1,0.42,0.41,0.37,0.34,0.36,0.25,0.31,0.3,0.38,0.28,0.2,0.4,0.32,0.51,0.45,0.6,0.61,0.41,0.4,0.51,0.59,0.5,0.67,0.46,0.43,0.39,0.58,,0.7,0.5,0.25,0.83,0.95,0.66,0.46,0.28
,79,CINCY LIGHT 2,0.09,0.09,0.13,0.03,0.03,0.15,0.11,0.09,0.03,0.08,0.07,0.05,0.03,0.08,0.13,0.12,0.05,0.07,0.08,0.06,0.14,0.11,0.16,0.06,0.11,0.15,0.13,,0.1,0.1,0.06,0.02,0.15,0.08,0.09,0.05
,28,SUMMER ALE 1,0.31,0.37,0.29,0.52,0.27,0.32,0.21,0.27,0.3,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,COORS LIGHT 1,0.48,0.23,0.25,0.42,0.32,0.46,0.51,0.36,0.27,0.51,0.29,0.39,0.21,0.48,0.61,0.7,0.45,0.53,0.61,0.54,0.86,0.68,0.68,0.52,0.67,0.46,0.55,,0.6,0.5,0.35,0.61,0.76,0.32,0.4,0.22
,76,COORS LIGHT 2,0.11,0.03,0.1,0.13,0.08,0.1,0.07,0.06,0.06,0.07,0.05,0.03,0.05,0.17,0.12,0.17,0.14,0.15,0.09,0.11,0.25,0.04,0.17,0.2,0.16,0.11,0.25,,0.2,0.2,0.06,0.21,0.2,0.15,0.26,0.05
,34,CORONA 1,0.32,0.37,0.24,0.43,0.37,0.16,0.27,0.36,0.19,0.28,0.26,0.4,0.3,0.56,,,,,,,,,,,,,,,,,,,,,,
,67,CROWN APPLE 'RITA 1,0.16,0.06,0.09,0.12,0.12,0.06,0.07,0.09,0.1,0.05,0.09,0.13,0.12,0.19,0.12,0.12,0.12,0.12,0.17,0.15,0.56,0.27,0.65,,,,,,0.5,,,0.3,,,,0.07
,94,CROWN APPLE 'RITA 2,0.03,0.01,0.02,0.03,0.03,0.02,0.03,0.01,0.02,0.02,0.04,0.05,0.03,0.04,0.05,,,,,,,,,,,,,,,,,,,,,
,87,Crown Royal Apple (Whiskey) 2,8.78,1.5,16.1,8.5,3,3.5,0,2,3.5,19.5,3.5,6,6,11,3,5.5,7,5.5,12,15.08,39,3,13.5,13.5,3,16.5,7.5,,9.3,10.1,0.75,3,15,3,12,5.02
,16,Crown Royal Apple (Whiskey) 3,25.83,8.5,19.2,22.5,22.5,8,18,8,32.5,31.5,31,16,9.5,60,29.5,34,44,29.2,44,26.7,39,16.6,18,40.5,16.5,19.5,27,,29.2,25.9,17.25,21,31,24,52,10.08
,88,Crown Royal Peach (Whiskey) 2,5.83,1.5,6.1,14.5,0,3,1.5,0,5,8.5,0,0,3,11,5.5,6.5,1.5,11.5,9,18.6,9,1.5,9,7.5,10.5,1.5,6,,12.3,6.4,1.5,22.5,18,3,9,5
,17,Crown Royal Peach (Whiskey) 3,17.62,0,8,23.1,3,9.1,19.1,15,9.5,26,18.5,11.5,12,19,9.5,15,12.5,16.12,42,21.6,22.5,21.15,40,16.5,22.5,10.5,34.5,,23.2,21,9.75,21,25,12,18,0
,15,Crown Royal (Whiskey) 3,8.24,3,0,12,11,3,15.6,0,3,9,6.5,11.5,7.5,21,11.5,9,9.5,22.05,3,8,12,1.5,15,1.5,3,7.5,7.5,,13.4,4.9,0.75,13.5,7.5,18,13,1.52
,4,Don Julio Blanco (Tequila) 3,18.25,3,10.5,21.6,17.1,3.5,32,18.5,28,30.5,47,18,4,3.5,,,,,,,,,,,,,,,,,,,,,,
,37,DORTMUNDER GOLD LAGER 1,0.25,0.27,0.19,0.3,0.16,0.24,0.16,0.25,0.24,0.25,0.17,0.26,0.3,0.36,0.31,0.29,,,,,,,,,,,,,,,,,,,,
