,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
,25,COORS LIGHT 1,1020,0.51,0.52,0.51,0.36,0.27,0.51,0.29,0.39,0.21,0.48,0.61,0.70,0.45,0.53,0.61,0.54,0.86,0.68,0.68,0.52,0.67,0.46,0.55,,0.6,0.5,0.35,0.61,0.76,0.32,0.40,0.22,,,,,,,,,,, 
,76,COORS LIGHT 2,135,0.07,0.12,0.07,0.06,0.06,0.07,0.05,0.03,0.05,0.17,0.12,0.17,0.14,0.15,0.09,0.11,0.25,0.04,0.17,0.20,0.16,0.11,0.25,,0.2,0.2,0.06,0.21,0.20,0.15,0.26,0.05,,,,,,,,,,,
,34,CORONA 1,543,0.27,0.33,0.27,0.36,0.19,0.28,0.26,0.40,0.30,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,CROWN APPLE 'RITA 1,105,0.07,0.19,0.07,0.09,0.10,0.05,0.09,0.13,0.12,0.19,0.12,0.12,0.12,0.12,0.17,0.15,0.56,0.27,0.65,,,,,,0.5,,,0.30,,,,0.07,,,,,,,,,,, 
,94,CROWN APPLE 'RITA 2,43,0.03,0.03,0.03,0.01,0.02,0.02,0.04,0.05,0.03,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,Crown Apple (Whiskey) 2,0,,9.31,0.00,2.00,3.50,19.50,3.50,6.00,6.00,11.00,3.00,5.50,7.00,5.5,12.00,15.08,39.00,3.00,13.50,13.5,3.0,16.50,7.5,,9.3,10.1,0.75,3.00,15.00,3.00,12.00,5.02,,,,,,,,,,,
,16,Crown Apple (Whiskey) 3,18,,28.14,18.00,8.00,32.50,31.50,31.00,16.00,9.50,60.00,29.50,34.00,44.00,29.2,44.00,26.70,39.00,16.60,18.00,40.5,16.5,19.50,27.0,,29.2,25.9,17.25,21.00,31.00,24.00,52.00,10.08,,,,,,,,,,,
,88,Crown Peach (Whiskey) 2,1.5,,6.03,1.50,0.00,5.00,8.50,0.00,0.00,3.00,11.00,5.50,6.50,1.50,11.5,9.00,18.60,9.00,1.50,9.00,7.5,10.5,1.50,6.0,,12.3,6.4,1.50,22.50,18.00,3.00,9.00,5.00,,,,,,,,,,,
,17,Crown Peach (Whiskey) 3,19.1,,19.76,19.10,15.00,9.50,26.00,18.50,11.50,12.00,19.00,9.50,15.00,12.50,16.12,42.00,21.60,22.50,21.15,40.00,16.5,22.5,10.50,34.5,,23.2,21.0,9.75,21.00,25.00,12.00,18.00,0.00,,,,,,,,,,,
,15,Crown Royal (Whiskey) 3,15.6,,8.82,15.60,0.00,3.00,9.00,6.50,11.50,7.50,21.00,11.50,9.00,9.50,22.05,3.00,8.00,12.00,1.50,15.00,1.5,3.0,7.50,7.5,,13.4,4.9,0.75,13.50,7.50,18.00,13.00,1.52,,,,,,,,,,,
